"row_id","chunk","y","resid","leverage","loocv_pred","loocv_err","abs_loocv_err","influence_beta_sq","high_error","high_leverage","high_influence","problematic"
10050,7,4.43081679884331,-7.65282597132998,0.0118595221670839,12.175490904405,-7.74467410556173,7.74467410556173,0.000266992685178357,TRUE,FALSE,TRUE,TRUE
5887,5,8.51719319141624,-3.61379767805239,0.0121147063510414,12.1753078544092,-3.65811466299298,3.65811466299298,6.15196723428247e-05,TRUE,FALSE,TRUE,TRUE
6205,5,11.289781913656,-3.51777785038827,0.0166696292606147,14.867193895494,-3.57741198183799,3.57741198183799,4.15951239595529e-05,TRUE,FALSE,TRUE,TRUE
9712,7,17.9115203995054,3.39324543589751,0.00377731421618286,14.5054090106369,3.40611138886858,3.40611138886858,1.87761011497598e-05,TRUE,FALSE,FALSE,TRUE
1424,2,11.2252433925184,-2.76723638577341,0.0277987552741668,14.0716050905574,-2.84636169803896,2.84636169803896,3.29200738483335e-05,TRUE,TRUE,TRUE,TRUE
3026,3,17.2167079396264,2.83681502421835,0.00237638091928301,14.3731355041298,2.84357243549666,2.84357243549666,4.36148366535365e-06,TRUE,FALSE,FALSE,TRUE
8273,6,10.5966347330961,-2.65090605803766,0.00732025291546456,13.2670891931808,-2.67045446008471,2.67045446008471,8.60903361086271e-05,TRUE,FALSE,TRUE,TRUE
3065,3,16.1180956509583,2.62938086505744,0.00249716632567021,13.4821323471028,2.63596330385553,2.63596330385553,5.13402615316852e-06,TRUE,FALSE,FALSE,TRUE
8735,7,10.8197782844103,-2.61052981567012,0.00950883644993129,13.4553695059549,-2.63559122154466,2.63559122154466,2.84814917757706e-05,TRUE,FALSE,TRUE,TRUE
8164,6,11.5129254649702,-2.53328643289773,0.00817538024369262,14.0670931902281,-2.55416772525788,2.55416772525788,8.9251135895574e-06,TRUE,FALSE,FALSE,TRUE
75,1,11.1074603177996,-2.48311387929553,0.015174636492663,13.6288351435374,-2.52137482573785,2.52137482573785,1.2239124207744e-05,TRUE,FALSE,FALSE,TRUE
777,1,15.8949520996441,2.47722178056249,0.0051069976541767,13.405014212131,2.48993788751307,2.48993788751307,1.26867907214681e-05,TRUE,FALSE,FALSE,TRUE
1044,1,16.7599495371307,2.4203986176553,0.0133103997017962,14.3068998476197,2.45304968951106,2.45304968951106,2.42720226399677e-05,TRUE,FALSE,TRUE,TRUE
7146,5,16.1359355690867,2.40039852610816,0.00354385454746442,13.7270001261545,2.40893544293214,2.40893544293214,3.56133411200049e-06,TRUE,FALSE,FALSE,TRUE
1368,2,11.1074603177996,-2.38025109731266,0.0071121934964559,13.5047614848818,-2.39730116708223,2.39730116708223,2.86842216426328e-05,TRUE,FALSE,TRUE,TRUE
8681,6,12.2060726455302,-2.36285267720476,0.00559136345427271,14.5822111768814,-2.37613853135124,2.37613853135124,1.96373022962633e-05,TRUE,FALSE,FALSE,TRUE
6926,5,10.1266311038503,-2.31792533892672,0.0229658324249699,12.4990408064503,-2.3724097026,2.3724097026,3.77848847057197e-05,TRUE,TRUE,TRUE,TRUE
8984,7,16.2708777661566,2.3393617519463,0.00252070922439876,13.9256042616538,2.34527350450284,2.34527350450284,3.14548629576835e-06,TRUE,FALSE,FALSE,TRUE
4358,4,16.5880992802041,2.29264763818627,0.0122231946764283,14.2670813884798,2.32101789172429,2.32101789172429,3.27106833945485e-05,TRUE,FALSE,TRUE,TRUE
1623,2,13.7101500423064,-2.24219530850154,0.0160152907594406,15.9888392205479,-2.27868917824147,2.27868917824147,1.38927995118876e-05,TRUE,FALSE,FALSE,TRUE
9070,7,15.4249484703984,2.23270333858584,0.00261880350894208,13.1863827680963,2.23856570230203,2.23856570230203,4.18188456684028e-06,TRUE,FALSE,FALSE,TRUE
828,1,10.8197782844103,-2.19244504681163,0.00961399180260726,13.0335060922194,-2.21372780780911,2.21372780780911,2.99057855876089e-05,TRUE,FALSE,TRUE,TRUE
8549,6,17.1477150681395,2.18532704059326,0.00973960723114322,14.940894461609,2.20682060653046,2.20682060653046,1.23905492198503e-05,TRUE,FALSE,FALSE,TRUE
3474,3,10.8197782844103,-2.18358412365372,0.0102891034025251,13.026063100674,-2.20628481626368,2.20628481626368,3.98880082282517e-05,TRUE,FALSE,TRUE,TRUE
2579,2,11.5129254649702,-2.19088440123035,0.00583064135373198,13.7166590463528,-2.20373358138257,2.20373358138257,7.88675802486241e-06,TRUE,FALSE,FALSE,TRUE
8272,6,10.5966347330961,-2.18083845260678,0.0100434030281594,12.7995984380481,-2.20296370495202,2.20296370495202,2.27086809767301e-05,TRUE,FALSE,TRUE,TRUE
6898,5,16.5235607590665,2.17303969890944,0.0130085731625874,14.3218803393363,2.20168041973014,2.20168041973014,1.14621863646899e-05,TRUE,FALSE,FALSE,TRUE
3291,3,10.3089526606443,-2.17908438918469,0.00666133539900925,12.5026500035943,-2.19369734295,2.19369734295,9.0407591372342e-06,TRUE,FALSE,FALSE,TRUE
6440,5,10.8197782844103,-2.14604173599801,0.0161407064223475,13.0010269141755,-2.1812486297652,2.1812486297652,1.49380610524424e-05,TRUE,FALSE,FALSE,TRUE
346,1,11.0020998412042,-2.15976110939004,0.00718733758214806,13.1774962590241,-2.1753964178199,2.1753964178199,2.00926160144235e-05,TRUE,FALSE,FALSE,TRUE
1647,2,10.8197782844103,-2.07520820032979,0.0444128745447982,12.9914360485741,-2.17165776416384,2.17165776416384,2.41504652820629e-05,TRUE,TRUE,TRUE,TRUE
